twitter_id	handle	username	realname	country
1222519447165886465	_anirudhgovind	Anirudh		India
3270581047	AnalisisGeo	Felipe Sosa		Mexico
93839237	andrewdc_nz	Andrew DC	Andrew Douglas-Clifford	New Zealand
113729499	antoaasa	Anto Aasa		Estonia
602294312	antoniolocandro	Antonio Locandro		Honduras
950089955753250816	assesslife	Jose Maria Echave Sanz		Finland
6408382	astronomyblog	Stuart		UK
1074378707438055426	BlandfordBread	Blandford Bread		UK
128804246	brunmuska	Amish Sarpotdar		UK
2372331457	carlosrpz_	Carlos Ramirez		Mexico
579246246	cas_maps	Cas		
996835888813494272	cj_maps	Catherine Schroder		UK
4273148897	cmhc23	Carrol Chan		Fiji
840369042632396800	cstats1	newishtodc		USA
33788841	dakvid	suǝbbıɹɟ pıʌɐp	David Friggens	New Zealand
1085107832314310656	dandanduhnnnn	Dan		UK
424357259	dbgoody	Richard Goodman		UK
238730325	DVDMaps	David McCutcheon		UK
1146772513051041792	EbingerSamara	Samara Ebinger		USA
1000055398697709569	est987	Eliav S-T		Israel
398047935	F00o00d	FOD		Saudi Arabia
22022797	Geo__Don	GeoDon		USA
2493409233	geocarta	SIG & Geomatique		
88731801	geospacedman	Barry Rowlingson		UK
3005542459	geotologist	Simon Bardsley		New Zealand
1499547780	HeikkiVesanto	Heikki Vesanto		Ireland
261631571	hendrikxleo	Leo		Netherlands
54696312	Hevski17	Heather Malloch		UK
2574612668	hireuter	hannes reuter	Hannes Reuter	
14913762	hurricanevicky	vicky johnson	Vicky Johnson	USA
77265423	ijturton	Ian Turton		UK
527879669	inari_ta	Irene de la Torre		UK
2380934868	Juanizio_C	Juanizio Correa		Chile
3195365733	Junevgt	Justine Vignat		France
47001569	k_zoar	ぞあ.		Japan
29162437	kjsime	Kerrin Sime		New Zealand
1310659130290388992	MapHustle	Emory Beck		New Zealand
889150492751925250	MapStorms	Martijn Storms		Netherlands
253102706	martinfernandoo	Martin		Argentina
1272146417323294721	MindOverMagma	Euan Mitchell		UK
1288862246416732160	MdZakariaHasan7	Md. Zakaria Hasan		
1056888822942711808	mmits003	mits miyake	Mitsuha Miyake	Japan
782161298	Neil_py_harris	Neil Harris 'UO web'	Neil Harris	UK
635283767	NigraArbaro	Travelling Panda		
28102639	pheebely	Phoebe L.		USA
2339659308	quorumetrix	Tyler Sloan		Canada
489547971	RichardZimerman	Richard Zimerman		Switzerland
104213130	rorich	R.Richard		USA
3552542476	SannaJokela1	Sanna Jokela		Finland
48334577	santihpuig	santihpuig		Spain
179094335	sarah_wilson7	sarah☻	Sarah Wilson	Ireland
809066605	sciremotesense	Robin Wilson		UK
404240734	SDGeoGirl	Barbara Kent		USA
1020137956869222401	SouthArrowMaps	Andrew Tyrrell		New Zealand
1109429181266436097	topographos2	Michal Michalski ***** ***	Michal Michalski	UK
2198358416	tjukanov	Topi Tjukanov		Finland
343928585	undertheraedar	Alasdair Rae		UK
421896803	viajeruss	rhabarbrr		
55309606	vizowl	Chris Knox		New Zealand
3044299951	YocsanContreras	_YocsanG		Mexico
66119329	yolsclemente	Yolanda Clemente		Spain
12306	zentree	Luis Apiolaza	Luis Apiolaza	New Zealand
