Lat,Long,Country,Number of Cartographers,Number of Maps
42.546245,1.601554,Andorra,1,30
-38.416097,-63.616672,Argentina,3,17
-25.274398,133.775136,Australia,6,82
47.516231,14.550072,Austria,5,35
50.503887,4.469936,Belgium,4,73
17.189877,-88.49765,Belize,1,29
9.30769,2.315834,Benin,1,11
-14.235004,-51.92528,Brazil,3,25
56.130366,-106.346771,Canada,10,122
-35.675147,-71.542969,Chile,9,49
35.86166,104.195397,China,1,6
4.570868,-74.297333,Colombia,6,27
49.817492,15.472962,Czech Republic,2,23
56.26392,9.501785,Denmark,7,46
13.794185,-88.89653,El Salvador,1,5
58.595272,25.013607,Estonia,6,150
-16.578193,179.414413,Fiji,1,4
61.92411,25.748151,Finland,5,105
46.227638,2.213749,France,54,599
51.165691,10.451526,Germany,18,184
7.946527,-1.023194,Ghana,1,6
71.706936,-42.604303,Greenland,1,25
4.860416,-58.93018,Guyana,1,5
15.199999,-86.241905,Honduras,1,4
22.396428,114.109497,Hong Kong,2,15
20.593684,78.96288,India,14,161
-0.789275,113.921327,Indonesia,3,7
33.223191,43.679291,Iraq,2,6
53.41291,-8.24389,Ireland,10,101
31.046051,34.851612,Israel,4,38
41.87194,12.56738,Italy,6,54
36.204824,138.252924,Japan,3,11
-0.023559,37.906193,Kenya,3,16
29.31166,47.481766,Kuwait,1,30
56.879635,24.603189,Latvia,5,71
49.815273,6.129583,Luxembourg,1,3
-18.766947,46.869107,Madagascar,1,8
-13.254308,34.301525,Malawi,1,6
23.634501,-102.552784,Mexico,30,298
31.791702,-7.09262,Morocco,1,29
52.132633,5.291266,Netherlands,16,108
-40.900557,174.885971,New Zealand,14,152
9.081999,8.675277,Nigeria,1,22
60.472024,8.468946,Norway,1,11
31.952162,35.233154,Palestine,1,9
-9.189967,-75.015152,Peru,3,9
12.879721,121.774017,Philippines,1,30
51.919438,19.145136,Poland,2,32
39.399872,-8.224454,Portugal,2,4
45.943161,24.96676,Romania,2,6
61.52401,105.318756,Russia,3,33
23.885942,45.079162,Saudi Arabia,2,33
14.497401,-14.452362,Senegal,1,28
44.016521,21.005859,Serbia,1,6
1.352083,103.819836,Singapore,1,5
48.669026,19.699024,Slovakia,2,4
-30.559482,22.937506,South Africa,5,51
40.463667,-3.74922,Spain,17,196
60.128161,18.643501,Sweden,8,41
46.818188,8.227512,Switzerland,11,89
-6.369028,34.888822,Tanzania,1,3
8.619543,0.824782,Togo,1,1
38.963745,35.243322,Turkey,1,1
55.378051,-3.435973,UK,91,1369
48.379433,31.16558,Ukraine,4,38
37.09024,-95.712891,USA,94,868
