Lat,Long,Country,Number of Maps
42.546245,1.601554,Andorra,23
-75.250973,-0.071389,Antarctica,9
-38.416097,-63.616672,Argentina,5
-25.274398,133.775136,Australia,32
47.516231,14.550072,Austria,11
23.684994,90.356331,Bangladesh,3
50.503887,4.469936,Belgium,21
-14.235004,-51.92528,Brazil,3
12.238333,-1.561593,Burkina Faso,1
56.130366,-106.346771,Canada,42
6.611111,20.939444,Central African Republic,1
-35.675147,-71.542969,Chile,19
35.86166,104.195397,China,9
4.570868,-74.297333,Colombia,9
49.817492,15.472962,Czech Republic,3
56.26392,9.501785,Denmark,8
-4.038333,21.758664,DR Congo,2
-1.831239,-78.183406,Ecuador,1
26.820553,30.802498,Egypt,3
58.595272,25.013607,Estonia,22
9.145,40.489673,Ethiopia,2
61.92411,25.748151,Finland,18
46.227638,2.213749,France,94
51.165691,10.451526,Germany,21
39.074208,21.824312,Greece,1
71.706936,-42.604303,Greenland,23
15.199999,-86.241905,Honduras,1
64.963051,-19.020835,Iceland,4
20.593684,78.96288,India,46
-0.789275,113.921327,Indonesia,9
32.427908,53.688046,Iran,1
33.223191,43.679291,Iraq,3
53.41291,-8.24389,Ireland,28
31.046051,34.851612,Israel,8
41.87194,12.56738,Italy,11
36.204824,138.252924,Japan,21
48.019573,66.923684,Kazakhstan,1
-0.023559,37.906193,Kenya,2
29.31166,47.481766,Kuwait,2
56.879635,24.603189,Latvia,35
33.854721,35.862285,Lebanon,2
55.169438,23.881275,Lithuania,1
49.815273,6.129583,Luxembourg,4
-18.766947,46.869107,Madagascar,2
4.210484,101.975766,Malaysia,3
17.570692,-3.996166,Mali,3
35.937496,14.375416,Malta,1
21.00789,-10.940835,Mauritania,1
23.634501,-102.552784,Mexico,77
42.708678,19.374389999999998,Montenegro,1
31.791702,-7.09262,Morocco,3
21.913965,95.956223,Myanmar,1
28.394857,84.124008,Nepal,3
52.132633,5.291266,Netherlands,10
-40.900557,174.885971,New Zealand,145
9.081999,8.675277,Nigeria,9
-19.054445,-169.867233,Niue,1
40.339852,127.510093,North Korea,2
60.472024,8.468946,Norway,3
31.952162,35.233154,Palestine,3
8.537981,-80.782127,Panama,1
-9.189967,-75.015152,Peru,11
12.879721,121.774017,Philippines,3
-24.703615,-127.439308,Pitcairn Islands,1
51.919438,19.145136,Poland,4
39.399872,-8.224454,Portugal,5
45.943161,24.96676,Romania,3
61.52401,105.318756,Russia,19
23.885942,45.079162,Saudi Arabia,15
14.497401,-14.452362,Senegal,3
44.016521,21.005859,Serbia,1
1.352083,103.819836,Singapore,2
48.669026,19.699024,Slovakia,1
-30.559482,22.937506,South Africa,9
35.907757,127.766922,South Korea,2
4.85,31.6,South Sudan,2
40.463667,-3.74922,Spain,44
15.63333,32.53333,Sudan,2
3.919305,-56.027783,Suriname,1
60.128161,18.643501,Sweden,3
46.818188,8.227512,Switzerland,21
34.802075,38.996815,Syria,1
23.69781,120.960515,Taiwan,1
15.870032,100.992541,Thailand,1
23.424076,53.847818,UAE,1
1.373333,32.290275,Uganda,1
55.378051,-3.435973,UK,219
48.379433,31.16558,Ukraine,22
37.09024,-95.712891,USA,184
41.377491,64.585262,Uzbekistan,3
14.058324,108.277199,Vietnam,3
