Lat,Long,Country,Number of Maps
42.546245,1.601554,Andorra,22
-75.250973,-0.071389,Antarctica,7
-38.416097,-63.616672,Argentina,5
-25.274398,133.775136,Australia,29
47.516231,14.550072,Austria,8
23.684994,90.356331,Bangladesh,1
50.503887,4.469936,Belgium,19
-14.235004,-51.92528,Brazil,2
12.238333,-1.561593,Burkina Faso,1
56.130366,-106.346771,Canada,40
6.611111,20.939444,Central African Republic,1
-35.675147,-71.542969,Chile,9
35.86166,104.195397,China,4
4.570868,-74.297333,Colombia,9
49.817492,15.472962,Czech Republic,3
56.26392,9.501785,Denmark,8
26.820553,30.802498,Egypt,3
58.595272,25.013607,Estonia,21
9.145,40.489673,Ethiopia,1
61.92411,25.748151,Finland,16
46.227638,2.213749,France,79
51.165691,10.451526,Germany,13
39.074208,21.824312,Greece,1
71.706936,-42.604303,Greenland,20
15.199999,-86.241905,Honduras,1
64.963051,-19.020835,Iceland,3
20.593684,78.96288,India,42
-0.789275,113.921327,Indonesia,9
32.427908,53.688046,Iran,1
33.223191,43.679291,Iraq,2
53.41291,-8.24389,Ireland,23
31.046051,34.851612,Israel,7
41.87194,12.56738,Italy,8
36.204824,138.252924,Japan,18
48.019573,66.923684,Kazakhstan,1
-0.023559,37.906193,Kenya,1
29.31166,47.481766,Kuwait,2
56.879635,24.603189,Latvia,21
33.854721,35.862285,Lebanon,2
55.169438,23.881275,Lithuania,1
49.815273,6.129583,Luxembourg,3
-18.766947,46.869107,Madagascar,1
4.210484,101.975766,Malaysia,3
17.570692,-3.996166,Mali,2
35.937496,14.375416,Malta,1
21.00789,-10.940835,Mauritania,1
23.634501,-102.552784,Mexico,66
42.708678,19.374389999999998,Montenegro,1
31.791702,-7.09262,Morocco,3
21.913965,95.956223,Myanmar,1
28.394857,84.124008,Nepal,2
52.132633,5.291266,Netherlands,10
-40.900557,174.885971,New Zealand,139
9.081999,8.675277,Nigeria,9
-19.054445,-169.867233,Niue,1
60.472024,8.468946,Norway,2
31.952162,35.233154,Palestine,2
-9.189967,-75.015152,Peru,10
12.879721,121.774017,Philippines,2
-24.703615,-127.439308,Pitcairn Islands,1
51.919438,19.145136,Poland,2
39.399872,-8.224454,Portugal,4
45.943161,24.96676,Romania,2
61.52401,105.318756,Russia,17
23.885942,45.079162,Saudi Arabia,14
14.497401,-14.452362,Senegal,2
44.016521,21.005859,Serbia,1
1.352083,103.819836,Singapore,2
48.669026,19.699024,Slovakia,1
-30.559482,22.937506,South Africa,9
35.907757,127.766922,South Korea,1
4.85,31.6,South Sudan,2
40.463667,-3.74922,Spain,34
15.63333,32.53333,Sudan,2
60.128161,18.643501,Sweden,1
46.818188,8.227512,Switzerland,16
34.802075,38.996815,Syria,1
23.69781,120.960515,Taiwan,1
15.870032,100.992541,Thailand,1
23.424076,53.847818,UAE,1
1.373333,32.290275,Uganda,1
55.378051,-3.435973,UK,173
48.379433,31.16558,Ukraine,21
37.09024,-95.712891,USA,133
41.377491,64.585262,Uzbekistan,3
14.058324,108.277199,Vietnam,3
